block_time,token_id,original_amount
2022-03-28 21:09:00,78000336,55.0
2022-03-25 09:52:00,78000893,249.005
2022-03-25 00:13:00,78000378,53.0
2022-03-24 23:25:00,78000692,320.0
2022-03-24 20:24:00,78000446,99.0
2022-03-24 17:55:00,78000633,60.0
2022-03-22 11:43:00,78000811,69.69
2022-03-21 02:05:00,78000733,85.0
2022-03-17 14:09:00,78000573,49.69
2022-03-14 01:22:00,78000541,72.0
2022-03-07 01:37:00,78000188,66.005
2022-02-27 03:33:00,78000893,70.005
2022-02-23 00:41:00,78000648,111.111
2022-02-06 00:56:00,78000125,71.0
2022-02-05 20:40:00,78000262,74.0
2022-01-28 17:54:00,78000350,76.0
2022-01-28 13:11:00,78000288,199.005
2022-01-24 04:03:00,78000252,68.0
2022-01-22 04:52:00,78000288,75.005
2022-01-21 22:11:00,78000853,75.0
2022-01-16 05:03:00,78000339,71.5
2022-01-11 02:46:00,78000372,77.77
2022-01-10 06:25:00,78000469,69.0
2022-01-09 14:46:00,78000668,69.9
2022-01-09 10:44:00,78000206,75.0
2022-01-06 02:33:00,78000893,250.005
2022-01-03 19:56:00,78000757,10.005
2022-01-03 00:59:00,78000678,63.5
2022-01-02 14:44:00,78000288,209.005
2022-01-01 10:06:00,78000853,150.005
2021-12-31 01:00:00,78000167,76.0
2021-12-30 22:07:00,78000190,16.0025
2021-12-27 01:01:00,78000535,66.0
2021-12-26 23:19:00,78000395,66.0
2021-12-25 05:33:00,78000105,64.5
2021-12-25 03:55:00,78000545,275.0
2021-12-25 02:58:00,78000089,49.0
2021-12-22 23:11:00,78000395,66.0
2021-12-22 22:30:00,78000250,80.0
2021-12-20 20:04:00,78000459,20.0025
2021-12-09 11:18:00,78000468,77.77
2021-12-01 07:39:00,78000581,99.0
2021-11-18 04:26:00,78000986,105.0
2021-11-17 06:51:00,78000891,115.0
2021-11-17 06:19:00,78000799,104.99
2021-11-17 01:15:00,78000699,95.0
2021-11-17 00:09:00,78000231,92.0
2021-11-16 14:34:00,78000327,86.69
2021-11-15 01:06:00,78000485,72.0
2021-11-13 03:11:00,78000831,175.0
2021-11-12 03:46:00,78000624,80.0
2021-11-11 01:35:00,78000516,10.0025
2021-11-10 18:22:00,78000981,103.0
2021-11-07 20:43:00,78000653,114.0
2021-11-02 17:56:00,78000937,144.0
2021-11-02 13:33:00,78000343,125.0
2021-10-26 04:42:00,78000283,150.0
2021-10-25 05:25:00,78000836,185.0
2021-10-24 18:47:00,78000627,145.0
2021-10-23 15:49:00,78000682,149.0
2021-10-19 22:02:00,78000030,199.0
2021-10-15 19:27:00,78000679,200.0
2021-10-14 17:07:00,78000854,180.0
2021-10-13 19:22:00,78000848,190.0
2021-10-13 14:09:00,78000894,150.0
2021-10-08 15:36:00,78000149,135.0
2021-10-07 20:17:00,78000327,158.0
2021-10-07 20:15:00,78000091,150.0
2021-10-05 05:39:00,78000445,183.0
2021-10-05 02:45:00,78000179,180.0
2021-10-03 04:40:00,78000719,180.0
2021-10-01 08:02:00,78000433,155.0
2021-09-30 07:12:00,78000077,950.0
2021-09-26 19:53:00,78000642,200.0
2021-09-25 17:57:00,78000115,159.0
2021-09-24 03:22:00,78000091,150.005
2021-09-22 16:46:00,78000760,141.0
2021-09-16 03:20:00,78000473,166.75
2021-09-15 21:23:00,78000647,291.0
2021-09-15 17:29:00,78000859,230.0
2021-09-15 15:08:00,78000075,235.0
2021-09-08 22:40:00,78000135,437.5
2021-09-08 20:59:00,78000589,169.42
2021-09-03 18:15:00,78000547,460.0
2021-09-03 03:11:00,78000167,199.0
2021-09-02 14:50:00,78000913,250.0
2021-09-01 15:23:00,78000197,223.0
2021-09-01 10:22:00,78000218,230.0
2021-09-01 04:53:00,78000006,458.88
2021-08-31 05:46:00,78000532,289.0
2021-08-30 18:13:00,78000229,500.0
2021-08-30 15:28:00,78000241,555.0
2021-08-30 15:13:00,78000326,326.0
2021-08-30 11:31:00,78000939,293.0
2021-08-29 22:05:00,78000335,250.0
2021-08-29 22:04:00,78000489,240.0
2021-08-29 18:50:00,78000767,230.0
2021-08-29 14:21:00,78000966,210.0
2021-08-29 04:14:00,78000085,199.69
2021-08-28 16:50:00,78000218,200.0
2021-08-28 15:14:00,78000940,300.0
2021-08-28 15:13:00,78000833,200.0
2021-08-28 15:05:00,78000007,212.0
2021-08-27 22:38:00,78000870,500.0
2021-08-27 03:24:00,78000089,179.0
2021-08-27 02:40:00,78000778,177.81369689729084
2021-08-27 00:06:00,78000807,170.0
2021-08-26 20:40:00,78000473,162.5
2021-08-25 22:10:00,78000115,165.0
2021-08-25 14:17:00,78000772,777.0
2021-08-25 13:09:00,78000151,180.0
2021-08-25 04:29:00,78000710,207.77
2021-08-25 03:51:00,78000060,175.0
2021-08-24 21:04:00,78000339,187.0
2021-08-24 08:28:00,78000976,169.0
2021-08-24 02:11:00,78000611,225.0
2021-08-24 00:28:00,78000696,170.0
2021-08-24 00:13:00,78000250,295.0
2021-08-23 19:56:00,78000164,200.0
2021-08-23 18:52:00,78000029,155.0
2021-08-23 18:43:00,78000086,150.0
2021-08-23 18:30:00,78000690,160.0
2021-08-23 18:04:00,78000189,145.0
2021-08-23 17:56:00,78000859,165.0
2021-08-23 17:25:00,78000919,152.0
2021-08-23 17:21:00,78000313,1000.0
2021-08-23 17:13:00,78000719,125.0
2021-08-23 17:10:00,78000189,124.0
2021-08-23 17:04:00,78000608,123.0
2021-08-23 17:03:00,78000296,120.0
2021-08-23 17:00:00,78000872,120.0
2021-08-23 16:58:00,78000032,105.0
2021-08-23 16:53:00,78000976,105.0
2021-08-23 15:53:00,78000778,115.0
2021-08-23 14:24:00,78000727,120.0
2021-08-23 14:02:00,78000921,110.0
2021-08-23 12:09:00,78000089,99.0
2021-08-22 23:19:00,78000679,105.0
2021-08-22 22:59:00,78000529,500.0
2021-08-22 01:32:00,78000351,105.0
2021-08-21 22:51:00,78000289,110.0
2021-08-21 21:50:00,78000878,100.0
2021-08-21 21:35:00,78000682,99.0
2021-08-21 19:52:00,78000252,100.0
2021-08-21 17:28:00,78000788,110.0
2021-08-21 10:54:00,78000762,215.0
2021-08-21 08:34:00,78000799,99.0
2021-08-21 03:08:00,78000548,120.0
2021-08-21 02:45:00,78000518,99.0
2021-08-21 01:56:00,78000256,100.0
2021-08-21 01:34:00,78000002,189.0
2021-08-21 01:19:00,78000311,84.0
2021-08-21 00:27:00,78000875,118.0
2021-08-21 00:21:00,78000894,80.0
2021-08-21 00:09:00,78000547,115.0
2021-08-21 00:05:00,78000287,96.0
2021-08-20 22:59:00,78000216,320.0
2021-08-20 22:15:00,78000701,95.0
2021-08-20 22:15:00,78000490,98.0
2021-08-20 22:08:00,78000473,86.0
2021-08-20 21:47:00,78000638,85.0
2021-08-20 21:38:00,78000226,69.69
2021-08-20 21:34:00,78000085,69.0
2021-08-20 21:14:00,78000074,75.0
2021-08-20 21:12:00,78000581,85.0
2021-08-20 20:57:00,78000089,82.0
2021-08-20 20:40:00,78000939,68.0
2021-08-20 20:28:00,78000169,125.0
2021-08-20 20:21:00,78000943,195.0
2021-08-20 20:07:00,78000524,65.0
2021-08-20 20:03:00,78000241,75.0
2021-08-20 20:00:00,78000203,125.0
2021-08-20 19:59:00,78000031,280.0
2021-08-20 19:58:00,78000097,250.0
2021-08-20 19:56:00,78000861,230.0
2021-08-20 19:55:00,78000083,100.0
2021-08-20 19:07:00,78000914,57.0
2021-08-20 18:40:00,78000805,80.0
2021-08-20 18:33:00,78000829,69.42
2021-08-20 17:08:00,78000721,59.99
2021-08-20 16:45:00,78000903,125.0
2021-08-20 14:57:00,78000853,58.5
2021-08-20 13:39:00,78000299,56.0
2021-08-20 13:22:00,78000125,51.5
2021-08-20 13:02:00,78000339,55.0
2021-08-20 10:59:00,78000579,49.88
2021-08-20 06:39:00,78000117,45.0
2021-08-20 04:28:00,78000940,42.5
2021-08-20 03:47:00,78000757,44.0
2021-08-19 22:54:00,78000601,44.5
2021-08-18 23:44:00,78000262,40.5
2021-08-18 20:35:00,78000722,55.0
2021-08-18 15:38:00,78000540,80.0
2021-08-18 07:06:00,78000202,39.5
2021-08-18 06:24:00,78000723,650.0
2021-08-18 00:44:00,78000760,40.86671654512008
2021-08-17 17:54:00,78000115,57.84
2021-08-17 17:49:00,78000167,44.0
2021-08-17 17:34:00,78000635,87.6942
2021-08-17 15:27:00,78000149,44.0
2021-08-16 07:20:00,78000331,55.5
2021-08-15 22:21:00,78000189,40.0
2021-08-15 12:31:00,78000727,46.0
2021-08-14 21:35:00,78000635,47.0
2021-08-14 20:35:00,78000074,50.0
2021-08-13 23:27:00,78000539,44.0
2021-08-13 12:08:00,78000030,44.0
2021-08-13 06:22:00,78000125,42.0
2021-08-13 03:49:00,78000240,43.9
2021-08-12 23:56:00,78000649,43.75
2021-08-12 19:43:00,78000560,42.88
2021-08-12 19:22:00,78000165,39.0
2021-08-12 19:03:00,78000310,250.0
2021-08-12 18:50:00,78000021,60.0
2021-08-12 18:49:00,78000202,36.8
2021-08-12 18:38:00,78000820,38.0
2021-08-12 18:12:00,78000329,40.0
2021-08-12 17:47:00,78000454,45.0
2021-08-12 17:34:00,78000738,92.0
2021-08-12 16:52:00,78000607,300.0
2021-08-12 03:26:00,78000835,100.0
2021-08-11 18:47:00,78000650,60.0
2021-08-11 18:25:00,78000661,42.069
2021-08-11 15:32:00,78000730,49.0
2021-08-11 08:14:00,78000190,45.0
2021-08-11 08:05:00,78000975,32.0
2021-08-11 06:19:00,78000899,60.0
2021-08-11 04:38:00,78000632,89.0
2021-08-11 03:01:00,78000894,26.5
2021-08-11 02:44:00,78000364,100.0
2021-08-10 21:16:00,78000820,34.99
2021-08-10 20:55:00,78000473,28.99
2021-08-10 07:17:00,78000029,35.0
2021-08-10 05:30:00,78000125,29.0
2021-08-10 03:17:00,78000086,33.3333
2021-08-10 03:14:00,78000239,40.0
2021-08-10 02:20:00,78000978,30.0
2021-08-09 22:14:00,78000918,33.0
2021-08-08 19:32:00,78000955,38.99
2021-08-06 19:58:00,78000025,68.0
2021-08-06 03:45:00,78000195,35.0
2021-08-06 01:59:00,78000816,37.0
2021-08-05 19:31:00,78000837,34.2
2021-08-04 10:20:00,78000846,36.0
2021-08-01 11:37:00,78000800,88.0
2021-08-01 11:37:00,78000490,88.0
2021-08-01 07:38:00,78000021,55.0
2021-08-01 07:19:00,78000740,50.0
2021-08-01 06:58:00,78000975,33.390686661404885
2021-08-01 02:57:00,78000125,34.67
2021-08-01 01:53:00,78000165,30.0
2021-08-01 01:52:00,78000730,36.0
2021-08-01 01:36:00,78000296,29.99
2021-08-01 01:04:00,78000194,29.29
2021-08-01 00:22:00,78000850,30.0
2021-07-31 22:00:00,78000769,30.0
2021-07-31 21:20:00,78000437,30.0
2021-07-31 20:42:00,78000632,55.0
2021-07-31 20:41:00,78000853,33.0
2021-07-31 20:39:00,78000899,30.0
2021-07-31 20:38:00,78000280,95.0
2021-07-31 20:38:00,78000175,35.0
2021-07-31 20:37:00,78000085,24.95
2021-07-31 20:34:00,78000194,24.0
2021-07-31 20:34:00,78000725,135.0
2021-07-31 20:34:00,78000124,25.0
2021-07-31 20:33:00,78000817,99.0
2021-07-31 20:33:00,78000221,99.0
2021-07-31 20:33:00,78000005,69.0
2021-07-31 20:31:00,78000713,56.0
2021-07-31 20:31:00,78000290,65.0
2021-07-31 20:31:00,78000370,55.0
2021-07-31 20:31:00,78000644,49.99
2021-07-31 20:31:00,78000821,45.0
2021-07-31 20:30:00,78000145,40.0
2021-07-31 20:28:00,78000937,35.2
2021-07-31 20:27:00,78000119,55.0
2021-07-31 20:27:00,78000554,28.0
2021-07-31 20:23:00,78000089,25.0
2021-07-31 20:14:00,78000931,45.0
2021-07-31 19:37:00,78000189,23.189
2021-07-31 19:36:00,78000351,24.0
2021-07-31 19:35:00,78000940,23.0
2021-07-31 19:34:00,78000240,23.0
2021-07-31 19:32:00,78000202,23.0
2021-07-31 19:32:00,78000172,19.9
2021-07-31 19:22:00,78000846,20.0
2021-07-31 19:16:00,78000282,20.0
2021-07-31 19:12:00,78000844,22.0
2021-07-31 19:04:00,78000579,19.88
2021-07-31 19:00:00,78000770,25.0
2021-07-31 18:52:00,78000226,21.0
2021-07-31 18:37:00,78000660,26.0
2021-07-31 18:21:00,78000970,21.0
2021-07-31 16:43:00,78000923,18.55
2021-07-31 16:34:00,78000149,21.12
2021-07-31 16:34:00,78000894,19.5
2021-07-31 16:22:00,78000978,18.0
2021-07-31 15:38:00,78000554,17.0
2021-07-31 15:21:00,78000539,26.0
2021-07-31 14:54:00,78000434,75.0
2021-07-31 14:50:00,78000025,29.0
2021-07-31 13:31:00,78000701,29.0
2021-07-31 05:25:00,78000226,16.8
2021-07-31 04:12:00,78000454,26.0
2021-07-31 03:40:00,78000796,29.0
2021-07-31 03:25:00,78000929,30.0
2021-07-31 01:58:00,78000830,30.0
2021-07-31 01:58:00,78000906,45.0
2021-07-31 01:58:00,78000553,125.0
2021-07-31 01:57:00,78000377,21.69
2021-07-28 21:42:00,78000795,18.0
2021-07-28 03:38:00,78000471,12.5
2021-07-27 21:39:00,78000095,24.7
2021-07-27 18:34:00,78000343,25.0
2021-07-27 18:00:00,78000576,88.0
2021-07-27 04:06:00,78000460,100.69
2021-07-27 03:19:00,78000526,78.0
2021-07-26 20:53:00,78000838,42.069
2021-07-26 18:02:00,78000945,16.99
2021-07-26 12:56:00,78000916,48.9999
2021-07-26 06:24:00,78000201,15.5
2021-07-25 16:29:00,78000470,22.99
2021-07-25 12:25:00,78000518,25.0
2021-07-24 03:43:00,78000284,20.0
2021-07-24 00:12:00,78000227,24.0
2021-07-23 14:12:00,78000719,14.698407319552697
2021-07-23 06:06:00,78000601,12.5
2021-07-23 05:19:00,78000604,15.0
2021-07-22 23:31:00,78000296,13.5
2021-07-22 08:45:00,78000554,12.5
2021-07-21 22:20:00,78000978,12.0
2021-07-21 20:58:00,78000601,1.0
2021-07-21 17:40:00,78000916,5.1
2021-07-21 16:56:00,78000916,5.0
2021-07-20 04:03:00,78000875,19.99
2021-07-19 15:27:00,78000284,17.99
2021-07-18 14:28:00,78000177,24.999103970798043
2021-07-17 02:28:00,78000869,18.0
2021-07-16 23:50:00,78000759,25.0
2021-07-16 21:34:00,78000165,16.0
2021-07-16 17:37:00,78000010,15.0
2021-07-16 17:12:00,78000592,51.25
2021-07-16 16:42:00,78000475,50.0
2021-07-16 14:55:00,78000821,20.0
2021-07-16 13:46:00,78000118,14.0
2021-07-16 10:03:00,78000798,18.0
2021-07-16 07:03:00,78000296,12.0
2021-07-16 05:00:00,78000011,15.0
2021-07-16 04:45:00,78000115,12.99
2021-07-16 04:35:00,78000983,25.0
2021-07-16 04:17:00,78000165,13.5
2021-07-16 04:15:00,78000158,20.0
2021-07-16 03:23:00,78000888,12.0
2021-07-16 00:05:00,78000622,10.0
2021-07-15 22:59:00,78000322,11.5
2021-07-15 22:42:00,78000289,10.5
2021-07-15 22:40:00,78000810,11.4
2021-07-15 22:30:00,78000992,15.0
2021-07-15 22:26:00,78000311,8.87
2021-07-15 22:12:00,78000227,12.0
2021-07-15 22:11:00,78000816,10.0
2021-07-15 22:05:00,78000822,10.0
2021-07-15 22:02:00,78000028,12.0
2021-07-15 21:40:00,78000125,7.8
2021-07-15 21:40:00,78000018,8.5
2021-07-15 21:30:00,78000372,8.5
2021-07-15 21:21:00,78000077,50.0
2021-07-15 20:02:00,78000636,49.0
2021-07-15 19:46:00,78000364,20.0
2021-07-15 19:27:00,78000473,7.79
2021-07-15 19:20:00,78000924,9.69
2021-07-15 19:14:00,78000613,7.5
2021-07-15 19:05:00,78000814,6.89
2021-07-15 19:04:00,78000441,7.441
2021-07-15 17:16:00,78000799,7.8
2021-07-15 15:44:00,78000198,11.5
2021-07-15 13:48:00,78000986,8.0
2021-07-15 13:15:00,78000922,6.5
2021-07-14 19:58:00,78000773,7.35
2021-07-14 19:15:00,78000122,6.9
2021-07-14 17:54:00,78000804,8.8
2021-07-14 03:07:00,78000719,7.5
2021-07-14 01:05:00,78000246,6.25
2021-07-13 21:08:00,78000962,7.1
2021-07-13 18:19:00,78000627,7.4
2021-07-13 16:19:00,78000758,4.8321
2021-07-13 15:03:00,78000284,7.5
2021-07-13 00:53:00,78000918,7.05
2021-07-09 22:01:00,78000029,8.0
2021-07-09 13:41:00,78000136,7.77
2021-07-08 22:39:00,78000609,5.5
2021-07-08 15:22:00,78000155,9.5
2021-07-06 15:49:00,78000806,5.75
2021-07-06 07:14:00,78000151,8.98
2021-07-06 06:35:00,78000939,6.7
2021-07-06 05:48:00,78000832,8.0
2021-07-06 05:42:00,78000062,5.95
2021-07-05 01:08:00,78000609,6.0
2021-07-04 09:30:00,78000139,9.0
2021-07-03 15:57:00,78000978,6.5
2021-07-03 05:41:00,78000657,7.0
2021-07-02 16:49:00,78000877,7.49
2021-07-01 22:44:00,78000337,7.0
2021-07-01 04:38:00,78000110,12.5
2021-07-01 02:13:00,78000218,7.0
2021-06-30 19:24:00,78000679,5.5
2021-06-30 18:13:00,78000897,7.9
2021-06-30 09:24:00,78000139,5.876861514228467
2021-06-30 03:13:00,78000447,6.9
2021-06-30 03:01:00,78000769,6.15
2021-06-30 02:46:00,78000862,10.0
2021-06-30 02:46:00,78000251,8.0
2021-06-29 16:58:00,78000799,5.8
2021-06-29 03:00:00,78000477,5.25
2021-06-28 20:03:00,78000490,10.0
2021-06-28 20:00:00,78000800,9.96
2021-06-28 19:55:00,78000279,6.0
2021-06-28 18:56:00,78000836,10.0
2021-06-28 18:52:00,78000801,10.0
2021-06-28 18:50:00,78000855,4.5
2021-06-28 08:02:00,78000960,5.0
2021-06-28 07:52:00,78000170,5.2
2021-06-28 03:51:00,78000987,4.9
2021-06-27 20:19:00,78000992,6.0
2021-06-27 17:39:00,78000832,5.555
2021-06-27 12:44:00,78000222,6.49
2021-06-27 05:32:00,78000704,20.0
2021-06-27 05:30:00,78000786,18.0
2021-06-27 02:41:00,78000668,5.15
2021-06-26 22:47:00,78000241,5.867655142259284
2021-06-26 17:39:00,78000004,5.5
2021-06-25 14:08:00,78000125,6.5
2021-06-25 07:49:00,78000342,6.49
2021-06-24 23:42:00,78000689,11.0
2021-06-24 19:46:00,78000902,6.65
2021-06-24 18:38:00,78000789,6.0
2021-06-24 18:15:00,78000343,10.0
2021-06-24 16:22:00,78000918,6.0
2021-06-24 14:47:00,78000283,6.5
2021-06-24 14:43:00,78000165,5.0
2021-06-24 07:26:00,78000882,5.920746821702914
2021-06-24 04:39:00,78000195,4.5
2021-06-24 04:06:00,78000197,5.0
2021-06-24 02:33:00,78000104,12.99
2021-06-24 02:14:00,78000588,13.0
2021-06-24 00:02:00,78000289,4.75
2021-06-24 00:00:00,78000138,4.0
2021-06-23 23:44:00,78000218,4.749
2021-06-23 23:35:00,78000798,6.0
2021-06-23 18:20:00,78000924,5.0
2021-06-23 17:50:00,78000140,4.5
2021-06-23 16:13:00,78000911,4.75
2021-06-23 06:48:00,78000302,7.9
2021-06-23 03:02:00,78000482,4.98
2021-06-22 22:34:00,78000730,4.9
2021-06-22 21:42:00,78000990,4.45
2021-06-22 15:49:00,78000886,5.0
2021-06-22 14:27:00,78000336,8.0
2021-06-22 13:40:00,78000758,4.0
2021-06-22 13:02:00,78000616,5.4
2021-06-22 08:29:00,78000293,5.5
2021-06-22 04:48:00,78000915,6.0
2021-06-22 04:47:00,78000737,4.8
2021-06-22 01:29:00,78000776,5.5
2021-06-22 00:14:00,78000373,7.0
2021-06-21 21:09:00,78000929,10.95
2021-06-21 20:17:00,78000847,24.0
2021-06-21 18:53:00,78000471,3.75
2021-06-21 18:30:00,78000609,4.69
2021-06-21 18:29:00,78000960,3.99
2021-06-21 13:50:00,78000303,4.0
2021-06-21 13:16:00,78000778,4.4
2021-06-21 08:47:00,78000518,4.8
2021-06-21 05:35:00,78000945,3.45
2021-06-21 05:08:00,78000516,8.9899
2021-06-21 04:12:00,78000968,3.5
2021-06-21 02:45:00,78000091,3.25
2021-06-21 02:03:00,78000305,4.2
2021-06-21 00:26:00,78000590,7.0
2021-06-21 00:14:00,78000921,3.9
2021-06-21 00:01:00,78000712,7.75
2021-06-20 21:49:00,78000885,12.0
2021-06-20 19:43:00,78000130,3.5
2021-06-20 17:57:00,78000344,8.0
2021-06-20 16:54:00,78000841,15.0
2021-06-20 16:26:00,78000882,3.15
2021-06-20 14:45:00,78000840,4.75
2021-06-20 06:47:00,78000689,3.8669
2021-06-19 18:28:00,78000918,3.33
2021-06-19 18:05:00,78000737,3.3418096163033857
2021-06-19 16:54:00,78000891,3.4
2021-06-19 14:42:00,78000985,10.0
2021-06-19 10:01:00,78000975,2.75
2021-06-19 07:34:00,78000710,3.4
2021-06-18 21:49:00,78000990,2.49
2021-06-18 20:43:00,78000657,5.0
2021-06-18 16:58:00,78000471,2.86
